coo: 52.073876_4.293582;E 00:00:00;A 00:00:00;E 01:00:00;A 01:00:00;E 02:00:00;A 02:00:00;E 03:00:00;A 03:00:00;E 04:00:00;A 04:00:00;E 05:00:00;A 05:00:00;E 06:00:00;A 06:00:00;E 07:00:00;A 07:00:00;E 08:00:00;A 08:00:00;E 09:00:00;A 09:00:00;E 10:00:00;A 10:00:00;E 11:00:00;A 11:00:00;E 12:00:00;A 12:00:00;E 13:00:00;A 13:00:00;E 14:00:00;A 14:00:00;E 15:00:00;A 15:00:00;E 16:00:00;A 16:00:00;E 17:00:00;A 17:00:00;E 18:00:00;A 18:00:00;E 19:00:00;A 19:00:00;E 20:00:00;A 20:00:00;E 21:00:00;A 21:00:00;E 22:00:00;A 22:00:00;E 23:00:00;A 23:00:00;
2022-01-01;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.20;129.79;6.61;142.04;11.42;155.14;14.26;168.99;14.89;183.24;13.25;197.36;9.48;210.91;3.90;223.62;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-02;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.22;129.65;6.65;141.90;11.47;155.01;14.33;168.87;14.98;183.13;13.35;197.27;9.60;210.84;4.03;223.57;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-03;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.25;129.51;6.69;141.76;11.53;154.87;14.42;168.75;15.08;183.02;13.47;197.18;9.73;210.77;4.17;223.52;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-04;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.28;129.37;6.74;141.62;11.60;154.74;14.50;168.62;15.19;182.92;13.59;197.10;9.86;210.70;4.31;223.47;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-05;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.32;129.22;6.80;141.48;11.68;154.61;14.60;168.50;15.30;182.81;13.72;197.02;10.00;210.64;4.45;223.43;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-06;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.37;129.08;6.86;141.34;11.76;154.47;14.70;168.38;15.42;182.71;13.86;196.94;10.15;210.59;4.61;223.40;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-07;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.42;128.93;6.93;141.20;11.85;154.34;14.81;168.26;15.55;182.61;14.00;196.86;10.30;210.54;4.77;223.37;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-08;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.48;128.77;7.01;141.05;11.95;154.20;14.93;168.14;15.69;182.51;14.15;196.79;10.46;210.49;4.93;223.34;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-09;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.55;128.62;7.10;140.90;12.06;154.07;15.06;168.02;15.83;182.42;14.31;196.72;10.62;210.44;5.10;223.32;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-10;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.63;128.46;7.19;140.76;12.17;153.93;15.19;167.91;15.98;182.32;14.47;196.65;10.79;210.40;5.27;223.30;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-11;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.71;128.30;7.29;140.61;12.29;153.80;15.33;167.79;16.14;182.23;14.64;196.59;10.97;210.37;5.45;223.29;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-12;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.80;128.14;7.40;140.46;12.42;153.66;15.48;167.67;16.30;182.14;14.81;196.53;11.15;210.34;5.64;223.28;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-13;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;0.90;127.98;7.52;140.30;12.55;153.52;15.63;167.56;16.47;182.05;15.00;196.47;11.34;210.31;5.83;223.28;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-14;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.00;127.82;7.64;140.15;12.69;153.39;15.79;167.44;16.65;181.97;15.18;196.42;11.54;210.29;6.03;223.29;--;--;--;--;--;--;--;--;--;--;--;--;
2022-01-15;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.11;127.65;7.77;140.00;12.84;153.25;15.96;167.33;16.84;181.89;15.38;196.37;11.74;210.27;6.23;223.30;-0.76;235.44;--;--;--;--;--;--;--;--;--;--;
2022-01-16;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.23;127.48;7.90;139.84;13.00;153.11;16.14;167.22;17.03;181.81;15.58;196.33;11.94;210.26;6.43;223.31;-0.55;235.48;--;--;--;--;--;--;--;--;--;--;
2022-01-17;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.36;127.31;8.05;139.69;13.16;152.98;16.32;167.11;17.22;181.73;15.79;196.28;12.15;210.25;6.64;223.33;-0.34;235.52;--;--;--;--;--;--;--;--;--;--;
2022-01-18;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.49;127.14;8.20;139.53;13.33;152.84;16.51;167.00;17.43;181.66;16.00;196.25;12.37;210.25;6.86;223.35;-0.13;235.57;--;--;--;--;--;--;--;--;--;--;
2022-01-19;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.63;126.97;8.35;139.38;13.51;152.70;16.70;166.89;17.64;181.58;16.22;196.21;12.59;210.25;7.08;223.38;0.08;235.62;--;--;--;--;--;--;--;--;--;--;
2022-01-20;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.77;126.80;8.52;139.22;13.69;152.57;16.90;166.79;17.85;181.51;16.44;196.18;12.82;210.25;7.30;223.42;0.30;235.68;--;--;--;--;--;--;--;--;--;--;
2022-01-21;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;1.93;126.63;8.69;139.06;13.88;152.44;17.11;166.68;18.08;181.45;16.67;196.16;13.05;210.26;7.53;223.46;0.52;235.74;--;--;--;--;--;--;--;--;--;--;
2022-01-22;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;--;2.09;126.46;8.86;138.91;14.08;152.30;17.33;166.58;18.30;181.38;16.91;196.13;13.28;210.28;7.76;223.51;0.75;235.81;--;--;--;--;--;--;--;--;--;--;
